200 19900
1 2 3
1 3 1
1 4 3
1 5 4
1 6 2
1 7 1
1 8 5
1 9 1
1 10 1
1 11 4
1 12 2
1 13 4
1 14 5
1 15 5
1 16 2
1 17 3
1 18 5
1 19 5
1 20 3
1 21 2
1 22 2
1 23 4
1 24 5
1 25 1
1 26 3
1 27 4
1 28 3
1 29 3
1 30 3
1 31 2
1 32 5
1 33 3
1 34 4
1 35 3
1 36 4
1 37 5
1 38 5
1 39 4
1 40 2
1 41 2
1 42 3
1 43 3
1 44 4
1 45 4
1 46 2
1 47 4
1 48 2
1 49 3
1 50 5
1 51 4
1 52 3
1 53 5
1 54 5
1 55 2
1 56 3
1 57 5
1 58 5
1 59 2
1 60 1
1 61 2
1 62 3
1 63 1
1 64 2
1 65 4
1 66 3
1 67 1
1 68 3
1 69 4
1 70 3
1 71 4
1 72 3
1 73 5
1 74 5
1 75 4
1 76 3
1 77 5
1 78 4
1 79 2
1 80 3
1 81 4
1 82 5
1 83 3
1 84 2
1 85 5
1 86 4
1 87 2
1 88 3
1 89 5
1 90 3
1 91 4
1 92 5
1 93 4
1 94 1
1 95 4
1 96 3
1 97 2
1 98 3
1 99 2
1 100 3
1 101 4
1 102 3
1 103 4
1 104 3
1 105 4
1 106 3
1 107 3
1 108 3
1 109 4
1 110 3
1 111 4
1 112 5
1 113 3
1 114 5
1 115 4
1 116 1
1 117 2
1 118 2
1 119 1
1 120 2
1 121 3
1 122 1
1 123 2
1 124 4
1 125 4
1 126 4
1 127 5
1 128 3
1 129 5
1 130 2
1 131 4
1 132 4
1 133 2
1 134 3
1 135 1
1 136 4
1 137 2
1 138 4
1 139 5
1 140 1
1 141 1
1 142 1
1 143 1
1 144 2
1 145 4
1 146 4
1 147 5
1 148 3
1 149 4
1 150 1
1 151 5
1 152 1
1 153 4
1 154 3
1 155 5
1 156 3
1 157 2
1 158 1
1 159 5
1 160 5
1 161 5
1 162 5
1 163 2
1 164 4
1 165 2
1 166 3
1 167 3
1 168 5
1 169 3
1 170 1
1 171 2
1 172 3
1 173 1
1 174 1
1 175 3
1 176 1
1 177 5
1 178 1
1 179 5
1 180 3
1 181 5
1 182 4
1 183 1
1 184 1
1 185 1
1 186 4
1 187 5
1 188 1
1 189 1
1 190 5
1 191 4
1 192 4
1 193 3
1 194 1
1 195 5
1 196 1
1 197 3
1 198 2
1 199 4
2 3 4
2 4 1
2 5 2
2 6 3
2 7 1
