200 19900
1 2 2
1 3 5
1 4 5
1 5 4
1 6 1
1 7 4
1 8 4
1 9 1
1 10 5
1 11 1
1 12 3
1 13 4
1 14 2
1 15 3
1 16 5
1 17 1
1 18 3
1 19 2
1 20 3
1 21 3
1 22 4
1 23 3
1 24 5
1 25 5
1 26 1
1 27 1
1 28 4
1 29 2
1 30 3
1 31 4
1 32 3
1 33 4
1 34 2
1 35 1
1 36 1
1 37 3
1 38 4
1 39 5
1 40 4
1 41 2
1 42 2
1 43 5
1 44 1
1 45 2
1 46 1
1 47 4
1 48 3
1 49 1
1 50 5
1 51 2
1 52 5
1 53 1
1 54 5
1 55 4
1 56 4
1 57 2
1 58 1
1 59 1
1 60 4
1 61 3
1 62 4
1 63 5
1 64 5
1 65 4
1 66 4
1 67 5
1 68 3
1 69 4
1 70 2
1 71 2
1 72 5
1 73 3
1 74 1
1 75 5
1 76 4
1 77 4
1 78 2
1 79 3
1 80 3
1 81 2
1 82 4
1 83 3
1 84 5
1 85 2
1 86 3
1 87 1
1 88 4
1 89 4
1 90 1
1 91 5
1 92 1
1 93 3
1 94 5
1 95 3
1 96 3
1 97 5
1 98 2
1 99 3
1 100 5
1 101 4
1 102 1
1 103 4
1 104 1
1 105 5
1 106 1
1 107 1
1 108 1
1 109 3
1 110 4
1 111 1
1 112 1
1 113 2
1 114 5
1 115 2
1 116 2
1 117 1
1 118 1
1 119 5
1 120 5
1 121 3
1 122 5
1 123 2
1 124 2
1 125 4
1 126 5
1 127 5
1 128 3
1 129 4
1 130 2
1 131 4
1 132 5
1 133 5
1 134 1
1 135 5
1 136 1
1 137 3
1 138 3
1 139 2
1 140 1
1 141 1
1 142 2
1 143 4
1 144 3
1 145 2
1 146 3
1 147 2
1 148 1
1 149 4
1 150 5
1 151 5
1 152 5
1 153 5
1 154 3
1 155 5
1 156 3
1 157 5
1 158 3
1 159 2
1 160 3
1 161 3
1 162 5
1 163 3
1 164 3
1 165 3
1 166 2
1 167 4
1 168 3
1 169 2
1 170 1
1 171 4
1 172 1
1 173 2
1 174 1
1 175 2
1 176 1
1 177 4
1 178 3
1 179 3
1 180 4
1 181 1
1 182 1
1 183 5
1 184 2
1 185 5
1 186 2
1 187 2
1 188 3
1 189 2
1 190 3
1 191 3
1 192 1
1 193 3
1 194 3
1 195 3
1 196 5
1 197 2
1 198 2
1 199 3
2 3 5
2 4 2
2 5 4
2 6 1
2 7 2
2 8 2
2 9 4
2 10 2
2 11 3
2 12 5
2 13 5
2 14 5
2 15 3
2 16 3
2 17 2
2 18 5
2 19 1
2 20 1
2 21 1
2 22 2
2 23 5
2 24 3
2 25 1
2 26 3
2 27 5
2 28 1
2 29 2
2 30 1
2 31 5
2 32 5
2 33 2
2 34 5
2 35 5
2 36 5
2 37 1
2 38 1
2 39 4
2 40 3
2 41 5
2 42 4
2 43 2
2 44 4
2 45 1
2 46 4
2 47 1
2 48 4
2 49 4
2 50 5
2 51 1
2 52 2
2 53 5
2 54 2
2 55 1
2 56 3
2 57 1
2 58 4
2 59 5
2 60 5
2 61 2
2 62 2
2 63 1
2 64 3
2 65 4
2 66 2
2 67 5
2 68 5
2 69 5
2 70 1
2 71 1
2 72 5
2 73 2
2 74 5
2 75 2
2 76 3
2 77 3
2 78 2
2 79 3
2 80 5
2 81 5
2 82 5
2 83 5
2 84 1
2 85 4
2 86 3
2 87 4
2 88 3
2 89 5
2 90 1
2 91 4
2 92 5
2 93 3
2 94 5
2 95 5
2 96 2
2 97 1
2 98 4
2 99 1
2 100 4
2 101 5
2 102 3
2 103 4
2 104 5
2 105 3
2 106 1
2 107 2
2 108 2
2 109 2
2 110 1
2 111 1
2 112 2
2 113 3
2 114 4
2 115 5
2 116 2
2 117 1
2 118 2
2 119 4
2 120 5
2 121 2
2 122 2
2 123 5
2 124 3
2 125 5
2 126 3
2 127 4
2 128 2
2 129 3
2 130 5
2 131 5
2 132 4
2 133 2
2 134 1
2 135 4
2 136 1
2 137 1
2 138 3
2 139 5
2 140 3
2 141 3
2 142 2
2 143 5
2 144 4
2 145 4
2 146 4
2 147 3
2 148 2
2 149 5
2 150 3
2 151 5
2 152 3
2 153 3
2 154 2
2 155 5
2 156 3
2 157 4
2 158 5
2 159 3
2 160 1
2 161 1
2 162 1
2 163 4
2 164 2
2 165 1
2 166 1
2 167 3
2 168 5
2 169 4
2 170 5
2 171 4
2 172 5
2 173 3
2 174 3
2 175 2
2 176 4
2 177 2
2 178 1
2 179 4
2 180 4
2 181 2
2 182 4
2 183 3
2 184 1
2 185 2
2 186 1
2 187 4
2 188 4
2 189 1
2 190 2
2 191 5
2 192 4
2 193 4
2 194 4
2 195 5
2 196 2
2 197 2
2 198 1
2 199 2
3 4 3
3 5 3
3 6 5
3 7 3
3 8 3
3 9 5
3 10 1
3 11 3
3 12 1
3 13 4
3 14 5
3 15 3
3 16 2
3 17 5
3 18 2
3 19 1
3 20 2
3 21 3
3 22 5
3 23 2
3 24 5
3 25 4
3 26 5
3 27 1
3 28 2
3 29 5
3 30 5
3 31 5
3 32 1
3 33 5
3 34 5
3 35 1
3 36 4
3 37 2
3 38 4
3 39 1
3 40 1
3 41 4
3 42 2
3 43 2
3 44 4
3 45 3
3 46 2
3 47 1
3 48 4
3 49 1
3 50 3
3 51 1
